%TITLE%
 LIX   141013/0000 

   LEVEL       HGHT       TEMP       DWPT       WDIR       WSPD
-------------------------------------------------------------------
%RAW%
   19.01,  26822.00,    -49.69,    -82.69,    140.00,     10.99
   18.40,  27034.96,    -50.10,    -83.10,  -9999.00,  -9999.00
   17.32,  27432.00,    -48.11,    -81.69,    315.00,      2.00
   16.60,  27711.94,    -46.70,    -80.70,  -9999.00,  -9999.00
   15.80,  28039.49,    -46.30,    -80.30,  -9999.00,  -9999.00
   15.79,  28042.00,    -46.31,    -80.30,     40.00,     10.00
   14.40,  28651.00,    -47.99,    -81.34,    335.00,     16.01
   13.70,  28980.65,    -48.90,    -81.90,  -9999.00,  -9999.00
   12.80,  29428.89,    -46.50,    -80.50,  -9999.00,  -9999.00
   12.54,  29566.00,    -46.54,    -80.54,      0.00,      0.00
   11.60,  30081.42,    -46.70,    -80.70,  -9999.00,  -9999.00
   10.93,  30480.00,    -45.68,    -80.14,    190.00,     20.01
   10.20,  30937.75,    -44.50,    -79.50,  -9999.00,  -9999.00
   10.00,  31070.00,    -45.30,    -80.30,    220.00,     13.00
    9.97,  31090.00,    -45.28,    -80.28,    230.00,     14.01
    9.70,  31273.22,    -45.10,    -80.10,  -9999.00,  -9999.00
    9.50,  31412.71,    -43.70,    -79.70,  -9999.00,  -9999.00
    8.70,  32001.96,    -44.90,    -79.90,  -9999.00,  -9999.00
    8.70,  32004.00,    -44.84,    -79.86,    245.00,     22.01
    8.60,  32079.60,    -42.50,    -78.50,  -9999.00,  -9999.00
    8.40,  32238.60,    -42.10,    -78.10,  -9999.00,  -9999.00
    8.31,  32309.00,    -42.27,    -78.13,    285.00,     23.00
    7.80,  32738.48,    -43.30,    -78.30,  -9999.00,  -9999.00
    7.00,  33470.00,    -41.10,    -78.10,    265.00,     14.01
    6.94,  33528.00,    -40.16,    -77.46,    270.00,     13.00
    6.80,  33668.27,    -37.90,    -75.90,  -9999.00,  -9999.00
